,date,init-from,size(byte),footprint(%),psnr,bpp,CR,mse,ssim,cmprss-class,cmprss-class-2
1603816949-617728,1603816949-617728,-,200708.0,100.0,50.944448533044266,24.50048828125,0.1581900073738964,3.106632721028291e-05,0.9947804907805251,Baseline:hf=64:hl=12,BASELINE
1603816949-617728,1603816949-617728,-,200708.0,100.0,55.82785360742718,24.50048828125,0.1581900073738964,1.0180641766055487e-05,0.9985398402871538,Baseline:hf=64:hl=12,BASELINE
1603816949-617728,1603816949-617728,-,217348.0,100.0,55.17981113104132,26.53173828125,0.14607909895651214,1.1824055036413483e-05,0.9980326479077128,Baseline:hf=64:hl=13,BASELINE
1603816949-617728,1603816949-617728,-,217348.0,100.0,55.92093349321175,26.53173828125,0.14607909895651214,1.0520911018829793e-05,0.9981235032262287,Baseline:hf=64:hl=13,BASELINE
1603816949-617728,1603816949-617728,-,217348.0,100.0,55.80132901240588,26.53173828125,0.14607909895651214,8.57057239045389e-06,0.9984086833841272,Baseline:hf=64:hl=13,BASELINE
1603843559-156915,1603843559-156915,-,83524.0,100.0,48.58999457062104,10.19580078125,0.38013026196063404,6.965953798498958e-05,0.9937562806077292,Baseline:hf=45:hl=10,BASELINE
1603843559-156915,1603843559-156915,-,83524.0,100.0,45.583918696353074,10.19580078125,0.38013026196063404,9.978098387364298e-05,0.9927032436827523,Baseline:hf=45:hl=10,BASELINE
1603843559-156915,1603843559-156915,-,83524.0,100.0,46.880437271172674,10.19580078125,0.38013026196063404,8.38864070829004e-05,0.9930660223942235,Baseline:hf=45:hl=10,BASELINE
1603843559-156915,1603843559-156915,-,91804.0,100.0,44.4989544009362,11.20654296875,0.3458454969282384,0.0001502699451521039,0.9928447662934005,Baseline:hf=45:hl=11,BASELINE
1603843559-156915,1603843559-156915,-,91804.0,100.0,49.63991371840486,11.20654296875,0.3458454969282384,4.306167102186009e-05,0.9943120809976093,Baseline:hf=45:hl=11,BASELINE
1603843559-156915,1603843559-156915,-,91804.0,100.0,45.69430124435331,11.20654296875,0.3458454969282384,0.00012750449241138995,0.993126825129311,Baseline:hf=45:hl=11,BASELINE
1603843559-156915,1603843559-156915,-,100084.0,100.0,49.23229669729268,12.21728515625,0.31723352383997444,5.192743265070021e-05,0.9946163264461122,Baseline:hf=45:hl=12,BASELINE
1603843559-156915,1603843559-156915,-,100084.0,100.0,48.73028431209552,12.21728515625,0.31723352383997444,6.087250221753493e-05,0.9946460524862865,Baseline:hf=45:hl=12,BASELINE
1603843559-156915,1603843559-156915,-,100084.0,100.0,46.5126134114223,12.21728515625,0.31723352383997444,7.231315976241603e-05,0.9939370550868762,Baseline:hf=45:hl=12,BASELINE
1603843559-156915,1603843559-156915,-,108364.0,100.0,42.369061852452276,13.22802734375,0.292993983241667,0.0001825815998017788,0.9879579235460859,Baseline:hf=45:hl=13,BASELINE
1603843559-156915,1603843559-156915,-,108364.0,100.0,49.5545528972687,13.22802734375,0.292993983241667,4.465607707970776e-05,0.9942422892337245,Baseline:hf=45:hl=13,BASELINE
1603843559-156915,1603843559-156915,-,108364.0,100.0,49.25445803158594,13.22802734375,0.292993983241667,4.7425597585970536e-05,0.9929385408793424,Baseline:hf=45:hl=13,BASELINE
1603867216-755376,1603867216-755376,-,25564.0,100.0,36.720528252301506,3.12060546875,1.2419809106556094,0.0008511888445354998,0.9473049062924495,Baseline:hf=45:hl=3,BASELINE
1603867216-755376,1603867216-755376,-,25564.0,100.0,36.56884256370353,3.12060546875,1.2419809106556094,0.0008841424714773893,0.9433013448628816,Baseline:hf=45:hl=3,BASELINE
1603867216-755376,1603867216-755376,-,25564.0,100.0,36.34855134649007,3.12060546875,1.2419809106556094,0.0009295952622778714,0.9409746775335397,Baseline:hf=45:hl=3,BASELINE
1603867216-755376,1603867216-755376,-,33844.0,100.0,39.68856350022238,4.13134765625,0.938127880865146,0.00042984908213838935,0.9690122373904878,Baseline:hf=45:hl=4,BASELINE
1603867216-755376,1603867216-755376,-,33844.0,100.0,39.59337669475735,4.13134765625,0.938127880865146,0.00044040914508514106,0.9684304393319051,Baseline:hf=45:hl=4,BASELINE
1603867216-755376,1603867216-755376,-,33844.0,100.0,39.99593538615364,4.13134765625,0.938127880865146,0.00040174665628001094,0.9718003917107249,Baseline:hf=45:hl=4,BASELINE
1603867216-755376,1603867216-755376,-,42124.0,100.0,41.39817830935989,5.14208984375,0.7537270914443073,0.000306184112560004,0.980663886424327,Baseline:hf=45:hl=5,BASELINE
1603867216-755376,1603867216-755376,-,42124.0,100.0,41.62817306347673,5.14208984375,0.7537270914443073,0.00029224425088614225,0.9794711499149948,Baseline:hf=45:hl=5,BASELINE
1603867216-755376,1603867216-755376,-,42124.0,100.0,42.335850635976456,5.14208984375,0.7537270914443073,0.00023432585294358432,0.9824302572528841,Baseline:hf=45:hl=5,BASELINE
1603867216-755376,1603867216-755376,-,50404.0,100.0,43.938105246647304,6.15283203125,0.6299103245774145,0.00016132705786731094,0.9862680047562967,Baseline:hf=45:hl=6,BASELINE
1603867216-755376,1603867216-755376,-,50404.0,100.0,42.955212709421616,6.15283203125,0.6299103245774145,0.0001965705305337906,0.9860991193194348,Baseline:hf=45:hl=6,BASELINE
1603867216-755376,1603867216-755376,-,50404.0,100.0,44.4837261028117,6.15283203125,0.6299103245774145,0.00014181091682985425,0.9876883072796689,Baseline:hf=45:hl=6,BASELINE
1603867216-755376,1603867216-755376,-,58684.0,100.0,41.394616642984346,7.16357421875,0.5410333310612774,0.0002171077358070761,0.9872198077138093,Baseline:hf=45:hl=7,BASELINE
1603867216-755376,1603867216-755376,-,58684.0,100.0,45.58065102348719,7.16357421875,0.5410333310612774,0.00011133446969324723,0.9899614923487686,Baseline:hf=45:hl=7,BASELINE
1603867216-755376,1603867216-755376,-,58684.0,100.0,45.87335770915133,7.16357421875,0.5410333310612774,0.00010365816706325859,0.9899982598969509,Baseline:hf=45:hl=7,BASELINE
1603867216-755376,1603867216-755376,-,66964.0,100.0,46.42871604092248,8.17431640625,0.4741353563108536,8.860143861966208e-05,0.9910429467466706,Baseline:hf=45:hl=8,BASELINE
1603867216-755376,1603867216-755376,-,66964.0,100.0,45.926415934152196,8.17431640625,0.4741353563108536,9.076604328583926e-05,0.991694484230334,Baseline:hf=45:hl=8,BASELINE
1603867216-755376,1603867216-755376,-,66964.0,100.0,46.58542450589099,8.17431640625,0.4741353563108536,8.80328007042408e-05,0.9915876053145932,Baseline:hf=45:hl=8,BASELINE
1603867216-755376,1603867216-755376,-,75244.0,100.0,47.246489478465755,9.18505859375,0.42196055499441815,7.647440361324698e-05,0.9922882376675517,Baseline:hf=45:hl=9,BASELINE
1603867216-755376,1603867216-755376,-,75244.0,100.0,44.28270195681338,9.18505859375,0.42196055499441815,0.0001725497277220711,0.9921418175836547,Baseline:hf=45:hl=9,BASELINE
1603867216-755376,1603867216-755376,-,75244.0,100.0,48.53228706619879,9.18505859375,0.42196055499441815,5.732952558901161e-05,0.9929812379903339,Baseline:hf=45:hl=9,BASELINE
1603905451-45262,1603905451-45262,-,99724.0,100.0,49.42298371179079,12.17333984375,0.3183787252817777,4.2435465729795396e-05,0.9966463918218638,Baseline:hf=90:hl=3,BASELINE
1603905451-45262,1603905451-45262,-,99724.0,100.0,52.99375231220231,12.17333984375,0.3183787252817777,2.0032373868161812e-05,0.9974493944486384,Baseline:hf=90:hl=3,BASELINE
1603905451-45262,1603905451-45262,-,99724.0,100.0,52.273636308067125,12.17333984375,0.3183787252817777,2.3973369025043212e-05,0.997369391460048,Baseline:hf=90:hl=3,BASELINE
1603905451-45262,1603905451-45262,-,132484.0,100.0,55.538622482795994,16.17236328125,0.23965158056821956,1.2045689800288528e-05,0.9986305065859444,Baseline:hf=90:hl=4,BASELINE
1603905451-45262,1603905451-45262,-,132484.0,100.0,54.68441191703001,16.17236328125,0.23965158056821956,1.4914241546648555e-05,0.998530802389634,Baseline:hf=90:hl=4,BASELINE
